RD,STNUM,STDIR,STREET,DISTRICT,DATEOCC,TIME,PRIMARY_CLASS,SECONDARY_CLASS,RECOVERED_I
HY130291,14XX,N,WOOD ST,14,30-Oct-14,5:00 PM,THEFT,OVER $500,N
HX525433,20XX,W,SUPERIOR ST,12,30-Oct-14,5:00 PM,THEFT,OVER $500,N
HX489024,5XX,S,KEDZIE AVE,11,30-Oct-14,5:45 PM,THEFT,$500 AND UNDER,N
HX500735,14XX,W,LAWRENCE AVE,19,30-Oct-14,8:00 PM,THEFT,OVER $500,N
HX496204,28XX,W,21ST PL,10,30-Oct-14,9:00 PM,THEFT,OVER $500,N
HX489273,48XX,N,TALMAN AVE,20,30-Oct-14,10:00 PM,THEFT,$500 AND UNDER,N
HY161522,45XX,N,MALDEN ST,19,31-Oct-14,12:00 PM,THEFT,OVER $500,N
HX490138,22XX,W,TAYLOR ST,12,31-Oct-14,9:30 PM,THEFT,OVER $500,N
HY238115,1XX,N,DESPLAINES ST,1,1-Nov-14,8:00 AM,THEFT,OVER $500,N
HX523379,8XX,W,MONTROSE AVE,19,1-Nov-14,10:00 AM,THEFT,OVER $500,N
HX495079,58XX,S,BLACKSTONE AVE,2,1-Nov-14,2:00 PM,THEFT,$500 AND UNDER,N
HX496577,37XX,N,MAGNOLIA AVE,19,1-Nov-14,3:00 PM,THEFT,OVER $500,N
HX491172,51XX,W,ADDISON ST,16,1-Nov-14,4:03 PM,THEFT,$500 AND UNDER,N
HX491347,67XX,N,BOSWORTH AVE,24,1-Nov-14,5:00 PM,THEFT,OVER $500,N
HX491279,1XX,E,CERMAK RD,1,1-Nov-14,6:00 PM,THEFT,$500 AND UNDER,N
HX507825,6XX,W,BUCKINGHAM PL,19,1-Nov-14,6:00 PM,THEFT,OVER $500,N
HX507825,6XX,W,BUCKINGHAM PL,19,1-Nov-14,6:00 PM,THEFT,OVER $500,N
HX511626,61XX,N,RICHMOND ST,24,1-Nov-14,7:00 PM,THEFT,OVER $500,N
HX491909,37XX,W,63RD ST,8,2-Nov-14,9:00 AM,THEFT,$500 AND UNDER,N
HX493747,XX,W,HURON ST,18,2-Nov-14,5:00 PM,THEFT,OVER $500,N
HX493813,12XX,E,46TH ST,2,3-Nov-14,6:30 AM,THEFT,OVER $500,N
HX493050,26XX,W,DIVISION ST,14,3-Nov-14,8:45 AM,THEFT,$500 AND UNDER,N
HX493215,2XX,E,RANDOLPH ST,1,3-Nov-14,10:00 AM,THEFT,$500 AND UNDER,N
HX494231,26XX,N,CLARK ST,19,3-Nov-14,12:00 PM,THEFT,OVER $500,N
HX494908,8XX,S,MICHIGAN AVE,1,4-Nov-14,8:30 AM,THEFT,OVER $500,N
HX494660,72XX,S,RIDGELAND AVE,3,4-Nov-14,9:00 AM,THEFT,OVER $500,N
HX494877,32XX,W,DICKENS AVE,14,4-Nov-14,11:00 AM,THEFT,$500 AND UNDER,N
HX495842,23XX,S,SACRAMENTO AVE,10,4-Nov-14,12:30 PM,THEFT,$500 AND UNDER,N
HX498687,81XX,S,OGLESBY AVE,4,4-Nov-14,4:00 PM,THEFT,OVER $500,N
HX498687,81XX,S,OGLESBY AVE,4,4-Nov-14,4:00 PM,THEFT,OVER $500,N
HX509972,25XX,N,WAYNE AVE,19,4-Nov-14,4:00 PM,THEFT,OVER $500,N
HX494918,72XX,N,BELL AVE,24,4-Nov-14,4:00 PM,THEFT,$500 AND UNDER,N
HX498687,81XX,S,OGLESBY AVE,4,4-Nov-14,4:00 PM,THEFT,OVER $500,N
HX495741,2XX,N,LA SALLE ST,1,4-Nov-14,5:00 PM,THEFT,$500 AND UNDER,N
HX495682,10XX,S,RACINE AVE,12,4-Nov-14,11:00 PM,THEFT,$500 AND UNDER,N
HX497029,49XX,N,KENNETH AVE,17,5-Nov-14,8:50 AM,THEFT,OVER $500,N
HX497029,49XX,N,KENNETH AVE,17,5-Nov-14,8:50 AM,THEFT,OVER $500,N
HX497712,75XX,N,PAULINA ST,24,5-Nov-14,9:00 AM,THEFT,OVER $500,N
HX503565,30XX,N,CLIFTON AVE,19,5-Nov-14,11:00 AM,THEFT,$500 AND UNDER,N
HX520331,32XX,W,FOSTER AVE,17,5-Nov-14,12:00 PM,THEFT,OVER $500,N
HX520331,32XX,W,FOSTER AVE,17,5-Nov-14,12:00 PM,THEFT,OVER $500,N
HX496097,16XX,N,TROY ST,14,5-Nov-14,3:00 PM,THEFT,OVER $500,N
HX505661,26XX,W,DEVON AVE,24,5-Nov-14,6:30 PM,THEFT,$500 AND UNDER,N
HX496566,12XX,S,ASHLAND AVE,12,5-Nov-14,9:05 PM,THEFT,OVER $500,N
HX497612,16XX,W,CORTLAND ST,14,6-Nov-14,6:00 AM,THEFT,OVER $500,N
HX497689,16XX,W,GREENLEAF AVE,24,6-Nov-14,9:00 AM,THEFT,$500 AND UNDER,N
HX497753,9XX,W,DIVERSEY PKWY,19,6-Nov-14,9:30 AM,THEFT,OVER $500,N
HX504991,3XX,W,OLD TOWN CT,18,6-Nov-14,8:00 PM,THEFT,OVER $500,N
HX499443,24XX,W,OGDEN AVE,10,7-Nov-14,6:00 AM,THEFT,OVER $500,N
HX498844,14XX,W,FLETCHER ST,19,7-Nov-14,4:00 PM,THEFT,$500 AND UNDER,N
HX498665,59XX,S,ELIZABETH ST,7,7-Nov-14,4:40 PM,THEFT,$500 AND UNDER,N
HX499570,30XX,W,GEORGE ST,14,7-Nov-14,7:15 PM,THEFT,OVER $500,N
HX499106,44XX,W,THOMAS ST,11,7-Nov-14,9:00 PM,THEFT,$500 AND UNDER,N
HX499138,35XX,W,BELDEN AVE,14,7-Nov-14,9:30 PM,THEFT,OVER $500,N
HX499138,35XX,W,BELDEN AVE,14,7-Nov-14,9:30 PM,THEFT,OVER $500,N
HX526470,10XX,E,95TH ST,4,8-Nov-14,10:00 AM,THEFT,$500 AND UNDER,N
HX499802,12XX,N,DAMEN AVE,14,8-Nov-14,12:30 PM,THEFT,OVER $500,Y
HX500085,20XX,N,MILWAUKEE AVE,14,8-Nov-14,6:00 PM,THEFT,$500 AND UNDER,N
HX500856,6XX,W,FULTON ST,12,9-Nov-14,9:15 AM,THEFT,OVER $500,N
HX501129,6XX,E,GRAND AVE,18,9-Nov-14,12:00 PM,THEFT,OVER $500,N
HX502996,15XX,S,BLUE ISLAND AVE,12,9-Nov-14,10:00 PM,THEFT,$500 AND UNDER,N
HX510697,31XX,W,ARGYLE ST,17,10-Nov-14,12:00 AM,THEFT,OVER $500,N
HX510697,31XX,W,ARGYLE ST,17,10-Nov-14,12:00 AM,THEFT,OVER $500,N
HX502335,1XX,E,MONROE DR,1,10-Nov-14,9:00 AM,THEFT,OVER $500,N
HY159988,5XX,W,WEBSTER AVE,18,10-Nov-14,6:00 PM,THEFT,OVER $500,N
HX502458,74XX,N,CLARK ST,24,10-Nov-14,7:00 PM,THEFT,$500 AND UNDER,N
HX502770,24XX,N,MILWAUKEE AVE,14,11-Nov-14,2:30 AM,THEFT,$500 AND UNDER,N
HX503412,3XX,W,CHESTNUT ST,18,11-Nov-14,7:31 AM,THEFT,OVER $500,N
HX521039,3XX,N,DESPLAINES ST,12,11-Nov-14,12:30 PM,THEFT,OVER $500,N
HX521039,3XX,N,DESPLAINES ST,12,11-Nov-14,12:30 PM,THEFT,OVER $500,N
HX510272,4XX,S,FINANCIAL PL,1,11-Nov-14,1:00 PM,THEFT,$500 AND UNDER,N
HX504059,19XX,N,LEAVITT ST,14,11-Nov-14,10:00 PM,THEFT,$500 AND UNDER,N
HX504528,12XX,W,LELAND AVE,19,12-Nov-14,1:34 PM,THEFT,OVER $500,N
HX505688,53XX,S,CORNELL AVE,2,12-Nov-14,7:00 PM,THEFT,$500 AND UNDER,N
HX506536,8XX,W,18TH ST,12,13-Nov-14,9:00 PM,THEFT,OVER $500,N
HX506700,10XX,W,WEBSTER AVE,18,14-Nov-14,12:01 AM,THEFT,$500 AND UNDER,N
HX506443,9XX,S,ABERDEEN ST,12,14-Nov-14,3:40 AM,THEFT,$500 AND UNDER,N
HX509574,11XX,N,HOWE ST,18,14-Nov-14,5:00 PM,THEFT,$500 AND UNDER,N
HX507668,5XX,W,DEMING PL,19,14-Nov-14,10:00 PM,THEFT,OVER $500,N
HX509185,26XX,S,KEDZIE AVE,10,15-Nov-14,12:30 PM,THEFT,OVER $500,N
HX508693,20XX,S,THROOP ST,12,16-Nov-14,1:00 AM,THEFT,$500 AND UNDER,N
HX510165,17XX,N,FERN CT,18,16-Nov-14,2:00 PM,THEFT,OVER $500,N
HX510165,17XX,N,FERN CT,18,16-Nov-14,2:00 PM,THEFT,OVER $500,N
HX509622,23XX,N,LAWNDALE AVE,25,16-Nov-14,4:30 PM,THEFT,$500 AND UNDER,N
HX510773,13XX,W,18TH PL,12,16-Nov-14,8:00 PM,THEFT,$500 AND UNDER,N
HX511646,35XX,N,PARIS AVE,16,17-Nov-14,3:00 PM,THEFT,$500 AND UNDER,N
HX547438,43XX,N,TROY ST,17,18-Nov-14,9:00 AM,THEFT,OVER $500,N
HX511745,44XX,N,KASSON AVE,17,18-Nov-14,9:30 AM,THEFT,OVER $500,N
HX511628,28XX,W,40TH PL,9,18-Nov-14,2:00 PM,THEFT,$500 AND UNDER,N
HX512786,49XX,N,RIDGEWAY AVE,17,19-Nov-14,12:00 PM,THEFT,OVER $500,N
HX516330,1XX,W,WASHINGTON ST,1,20-Nov-14,2:00 PM,THEFT,$500 AND UNDER,N
HX517974,27XX,N,HAMPDEN CT,19,21-Nov-14,8:00 AM,THEFT,OVER $500,N
HX518548,33XX,S,PARNELL AVE,9,21-Nov-14,9:00 AM,THEFT,$500 AND UNDER,N
HX516187,18XX,N,CLEVELAND AVE,18,22-Nov-14,12:01 AM,THEFT,OVER $500,N
HX516187,18XX,N,CLEVELAND AVE,18,22-Nov-14,12:01 AM,THEFT,OVER $500,N
HX516187,18XX,N,CLEVELAND AVE,18,22-Nov-14,12:01 AM,THEFT,OVER $500,N
HX516354,12XX,W,NEWPORT AVE,19,22-Nov-14,2:00 AM,THEFT,OVER $500,N
HX516583,18XX,N,CLEVELAND AVE,18,22-Nov-14,3:00 AM,THEFT,OVER $500,N
HX516583,18XX,N,CLEVELAND AVE,18,22-Nov-14,3:00 AM,THEFT,OVER $500,N
HX516470,59XX,N,MASON AVE,16,22-Nov-14,2:50 PM,THEFT,$500 AND UNDER,N
HX532286,7XX,W,BELMONT AVE,19,22-Nov-14,3:00 PM,THEFT,OVER $500,N
HX518837,21XX,W,ERIE ST,12,22-Nov-14,8:00 PM,THEFT,OVER $500,N
HX517837,XX,E,OHIO ST,18,23-Nov-14,8:00 AM,THEFT,$500 AND UNDER,N
HX518806,4XX,W,WASHINGTON ST,1,23-Nov-14,8:30 AM,THEFT,OVER $500,N
HX517778,10XX,N,CLARK ST,18,23-Nov-14,12:30 PM,THEFT,$500 AND UNDER,N
HX519835,19XX,W,CERMAK RD,12,23-Nov-14,8:30 PM,THEFT,$500 AND UNDER,N
HX528080,23XX,W,WABANSIA AVE,14,23-Nov-14,10:00 PM,THEFT,OVER $500,N
HX518243,40XX,N,KOSTNER AVE,17,24-Nov-14,12:37 AM,THEFT,$500 AND UNDER,N
HX523900,9XX,W,ARGYLE ST,20,25-Nov-14,12:00 PM,THEFT,$500 AND UNDER,N
HX538127,2XX,W,GRAND AVE,18,26-Nov-14,8:00 AM,THEFT,OVER $500,N
HX527285,10XX,W,LAWRENCE AVE,19,26-Nov-14,12:00 PM,THEFT,$500 AND UNDER,N
HX528032,2XX,W,GRAND AVE,18,26-Nov-14,1:00 PM,THEFT,$500 AND UNDER,N
HX523575,40XX,N,KEDZIE AVE,17,26-Nov-14,9:00 PM,THEFT,$500 AND UNDER,N
HX522301,61XX,S,ROCKWELL ST,8,26-Nov-14,11:00 PM,THEFT,$500 AND UNDER,N
HX522359,34XX,S,BELL AVE,9,27-Nov-14,2:00 PM,THEFT,$500 AND UNDER,N
HX522662,36XX,W,AUGUSTA BLVD,11,28-Nov-14,6:15 AM,THEFT,$500 AND UNDER,N
HX523805,76XX,N,SHERIDAN RD,24,29-Nov-14,10:15 AM,THEFT,$500 AND UNDER,N
HX524696,50XX,N,KIMBALL AVE,17,30-Nov-14,1:05 AM,THEFT,$500 AND UNDER,N
HX526003,23XX,W,21ST ST,12,1-Dec-14,4:00 AM,THEFT,$500 AND UNDER,N
HX525961,23XX,W,21ST ST,12,1-Dec-14,4:00 AM,THEFT,$500 AND UNDER,N
HX559641,17XX,N,CRILLY CT,18,1-Dec-14,9:00 AM,THEFT,$500 AND UNDER,N
HX527892,25XX,W,ADDISON ST,19,1-Dec-14,3:00 PM,THEFT,$500 AND UNDER,N
HX539272,7XX,W,BITTERSWEET PL,19,1-Dec-14,8:00 PM,THEFT,$500 AND UNDER,N
HX527773,11XX,W,LAWRENCE AVE,19,2-Dec-14,12:00 PM,THEFT,OVER $500,N
HX558429,15XX,W,CORNELIA AVE,19,3-Dec-14,10:00 AM,THEFT,OVER $500,N
HX530464,55XX,N,PAULINA ST,20,3-Dec-14,4:00 PM,THEFT,$500 AND UNDER,N
HX529191,46XX,N,KEDZIE AVE,17,3-Dec-14,8:00 PM,THEFT,$500 AND UNDER,N
HX532135,3XX,N,WABASH AVE,18,4-Dec-14,3:30 PM,THEFT,$500 AND UNDER,N
HX531849,48XX,N,BROADWAY,20,4-Dec-14,10:00 PM,THEFT,$500 AND UNDER,N
HX531498,5XX,W,MADISON ST,1,5-Dec-14,1:00 PM,THEFT,OVER $500,N
HX532444,XX,N,DEARBORN ST,1,6-Dec-14,5:00 AM,THEFT,$500 AND UNDER,N
HX532180,8XX,W,RANDOLPH ST,12,6-Dec-14,8:30 AM,THEFT,$500 AND UNDER,N
HX532956,70XX,S,WENTWORTH AVE,7,6-Dec-14,7:25 PM,THEFT,OVER $500,N
HX533211,32XX,N,HALSTED ST,19,6-Dec-14,7:30 PM,THEFT,OVER $500,N
HX533513,5XX,W,MADISON ST,1,7-Dec-14,2:00 PM,THEFT,OVER $500,N
HX534671,41XX,W,HIRSCH ST,25,7-Dec-14,2:30 PM,THEFT,$500 AND UNDER,N
HX537231,28XX,N,ALBANY AVE,14,7-Dec-14,8:00 PM,THEFT,OVER $500,N
HX535161,XX,S,WACKER DR,1,8-Dec-14,8:45 AM,THEFT,OVER $500,N
HX536534,89XX,S,SOUTH CHICAGO AVE,4,9-Dec-14,10:50 PM,THEFT,$500 AND UNDER,N
HX539253,20XX,W,WEBSTER AVE,14,9-Dec-14,11:00 PM,THEFT,OVER $500,N
HX536874,14XX,N,ST LOUIS AVE,14,10-Dec-14,10:30 AM,THEFT,OVER $500,N
HX538708,9XX,W,WILSON AVE,19,10-Dec-14,11:00 AM,THEFT,OVER $500,N
HY139859,11XX,N,LA SALLE DR,18,10-Dec-14,1:00 PM,THEFT,OVER $500,N
HY139859,11XX,N,LA SALLE DR,18,10-Dec-14,1:00 PM,THEFT,OVER $500,N
HY110352,12XX,W,FLOURNOY ST,12,12-Dec-14,10:00 AM,THEFT,$500 AND UNDER,N
HX558427,60XX,S,ARCHER AVE,8,12-Dec-14,12:00 PM,THEFT,$500 AND UNDER,N
HX541337,18XX,W,22ND PL,10,12-Dec-14,2:30 PM,THEFT,$500 AND UNDER,N
HX545964,12XX,N,GREENVIEW AVE,14,13-Dec-14,9:00 AM,THEFT,OVER $500,N
HX542337,50XX,W,47TH ST,8,13-Dec-14,10:30 AM,THEFT,$500 AND UNDER,N
HX542032,XX,E,OAK ST,18,13-Dec-14,5:00 PM,THEFT,$500 AND UNDER,N
HX557583,55XX,S,DR MARTIN LUTHER KING JR DR,2,13-Dec-14,6:00 PM,THEFT,$500 AND UNDER,N
HX541466,19XX,S,CENTRAL PARK AVE,10,13-Dec-14,10:00 PM,THEFT,OVER $500,N
HX542992,8XX,N,DAMEN AVE,12,14-Dec-14,7:00 PM,THEFT,$500 AND UNDER,N
HY111102,9XX,W,DIVERSEY PKWY,19,15-Dec-14,12:00 PM,THEFT,OVER $500,N
HX543840,25XX,S,ARCHER AVE,9,15-Dec-14,2:00 PM,THEFT,$500 AND UNDER,N
HX543401,9XX,W,NORTH AVE,18,15-Dec-14,3:30 PM,THEFT,OVER $500,N
HX544234,19XX,W,CHICAGO AVE,12,15-Dec-14,10:00 PM,THEFT,OVER $500,N
HX544825,XX,W,CTA 95TH ST LN,6,16-Dec-14,6:45 AM,THEFT,$500 AND UNDER,N
HX547301,1XX,N,WABASH AVE,1,18-Dec-14,4:00 PM,THEFT,$500 AND UNDER,N
HX547503,1XX,N,WABASH AVE,1,18-Dec-14,4:30 PM,THEFT,OVER $500,N
HX549357,26XX,N,SPAULDING AVE,14,19-Dec-14,7:15 AM,THEFT,$500 AND UNDER,N
HX548526,36XX,W,WOLFRAM ST,25,19-Dec-14,7:45 AM,THEFT,$500 AND UNDER,N
HX547949,8XX,W,BUENA AVE,19,19-Dec-14,8:45 AM,THEFT,OVER $500,N
HX550566,34XX,N,NATOMA AVE,16,20-Dec-14,12:00 PM,THEFT,$500 AND UNDER,N
HX550458,85XX,S,COTTAGE GROVE AVE,6,21-Dec-14,1:20 PM,THEFT,$500 AND UNDER,N
HX550644,22XX,W,WAVELAND AVE,19,21-Dec-14,2:00 PM,THEFT,OVER $500,N
HY101726,8XX,W,FLETCHER ST,19,22-Dec-14,9:00 AM,THEFT,OVER $500,N
HX553038,50XX,W,NEWPORT AVE,16,22-Dec-14,5:00 PM,THEFT,OVER $500,N
HX552678,46XX,W,MONTROSE AVE,17,23-Dec-14,4:00 AM,THEFT,$500 AND UNDER,N
HX556598,24XX,W,NORTH AVE,14,23-Dec-14,4:00 PM,THEFT,OVER $500,N
HY121898,40XX,N,SHERIDAN RD,19,23-Dec-14,7:00 PM,THEFT,$500 AND UNDER,N
HX553441,19XX,N,HOWE ST,18,23-Dec-14,8:00 PM,THEFT,$500 AND UNDER,N
HX556579,4XX,W,DIVERSEY PKWY,19,23-Dec-14,11:55 PM,THEFT,$500 AND UNDER,N
HX553826,2XX,N,MICHIGAN AVE,1,24-Dec-14,11:50 AM,THEFT,$500 AND UNDER,N
HX556056,3XX,N,ORLEANS ST,18,26-Dec-14,2:00 PM,THEFT,$500 AND UNDER,N
HX557503,3XX,S,LA SALLE ST,1,27-Dec-14,3:00 PM,THEFT,$500 AND UNDER,N
HX556933,41XX,N,MOZART ST,17,27-Dec-14,6:30 PM,THEFT,OVER $500,N
HX556933,41XX,N,MOZART ST,17,27-Dec-14,6:30 PM,THEFT,OVER $500,N
HX558243,5XX,N,DESPLAINES ST,12,28-Dec-14,12:00 AM,THEFT,$500 AND UNDER,N
HX557613,14XX,W,ARGYLE ST,20,28-Dec-14,12:00 AM,THEFT,$500 AND UNDER,N
HX557551,24XX,W,CULLOM AVE,19,28-Dec-14,3:00 AM,THEFT,OVER $500,N
HY102614,2XX,W,31ST ST,9,28-Dec-14,4:15 AM,THEFT,$500 AND UNDER,N
HX559083,81XX,S,CORNELL AVE,4,28-Dec-14,6:00 PM,THEFT,$500 AND UNDER,N
HX559373,40XX,W,AUGUSTA BLVD,11,29-Dec-14,9:30 PM,THEFT,$500 AND UNDER,N
HX560721,25XX,N,PULASKI RD,25,31-Dec-14,12:40 PM,THEFT,$500 AND UNDER,N
HY104563,13XX,N,DAMEN AVE,14,31-Dec-14,9:00 PM,THEFT,OVER $500,N
HY104919,41XX,W,CULLOM AVE,17,1-Jan-15,7:00 AM,THEFT,$500 AND UNDER,N
HY102170,21XX,N,CALIFORNIA AVE,14,2-Jan-15,9:00 PM,THEFT,$500 AND UNDER,N
HY104025,11XX,W,WOLFRAM ST,19,4-Jan-15,4:00 PM,THEFT,OVER $500,N
HY115168,37XX,N,CLIFTON AVE,19,5-Jan-15,8:00 AM,THEFT,OVER $500,N
HY105252,XX,W,TERMINAL ST,16,5-Jan-15,4:35 PM,THEFT,OVER $500,N
HY106085,9XX,N,MICHIGAN AVE,18,6-Jan-15,12:00 PM,THEFT,OVER $500,N
HY157475,68XX,S,STEWART AVE,7,6-Jan-15,3:00 PM,THEFT,$500 AND UNDER,N
HY108756,20XX,N,KENMORE AVE,18,8-Jan-15,9:00 AM,THEFT,OVER $500,N
HY117259,55XX,N,KENMORE AVE,20,8-Jan-15,8:00 PM,THEFT,$500 AND UNDER,N
HY108825,16XX,W,WABANSIA AVE,14,9-Jan-15,10:30 AM,THEFT,$500 AND UNDER,N
HY110195,9XX,N,HARDING AVE,11,10-Jan-15,12:00 PM,THEFT,$500 AND UNDER,N
HY125868,14XX,N,CENTRAL PARK AVE,25,10-Jan-15,6:00 PM,THEFT,$500 AND UNDER,N
HY110652,14XX,N,HARDING AVE,25,10-Jan-15,8:50 PM,THEFT,$500 AND UNDER,N
HY111365,17XX,W,DIVISION ST,14,10-Jan-15,11:00 PM,THEFT,OVER $500,N
HY111365,17XX,W,DIVISION ST,14,10-Jan-15,11:00 PM,THEFT,OVER $500,N
HY112601,9XX,N,LEAVITT ST,12,11-Jan-15,10:00 AM,THEFT,OVER $500,N
HY111068,32XX,N,HALSTED ST,19,11-Jan-15,11:00 AM,THEFT,$500 AND UNDER,N
HY112157,50XX,W,WEST END AVE,15,12-Jan-15,11:13 AM,THEFT,OVER $500,N
HY116496,45XX,W,ADAMS ST,11,12-Jan-15,3:00 PM,THEFT,OVER $500,N
HY113694,37XX,N,WAYNE AVE,19,13-Jan-15,2:55 PM,THEFT,$500 AND UNDER,N
HY117099,45XX,W,MAYPOLE AVE,11,14-Jan-15,9:00 AM,THEFT,$500 AND UNDER,N
HY116120,24XX,W,GRANVILLE AVE,24,15-Jan-15,3:15 PM,THEFT,$500 AND UNDER,N
HY118493,39XX,N,SOUTHPORT AVE,19,17-Jan-15,9:00 AM,THEFT,OVER $500,N
HY118278,30XX,N,CLYBOURN AVE,19,17-Jan-15,10:00 AM,THEFT,OVER $500,N
HY121099,16XX,N,WOOD ST,14,17-Jan-15,12:00 PM,THEFT,OVER $500,N
HY118775,67XX,S,COTTAGE GROVE AVE,3,17-Jan-15,4:50 PM,THEFT,$500 AND UNDER,N
HY123228,48XX,N,HARDING AVE,17,19-Jan-15,11:00 PM,THEFT,$500 AND UNDER,N
HY124131,50XX,N,KIMBALL AVE,17,20-Jan-15,7:15 AM,THEFT,$500 AND UNDER,N
HY121905,51XX,W,IRVING PARK RD,16,20-Jan-15,11:28 AM,THEFT,$500 AND UNDER,N
HY122380,2XX,W,79TH ST,6,20-Jan-15,5:15 PM,THEFT,$500 AND UNDER,N
HY175275,5XX,W,WEBSTER AVE,18,21-Jan-15,3:00 AM,THEFT,OVER $500,N
HY123449,57XX,S,CICERO AVE,8,21-Jan-15,6:40 AM,THEFT,$500 AND UNDER,N
HY123621,14XX,W,LELAND AVE,19,21-Jan-15,8:30 AM,THEFT,OVER $500,N
HY125429,5XX,W,MELROSE ST,19,22-Jan-15,6:30 PM,THEFT,$500 AND UNDER,N
HY125415,60XX,S,CALIFORNIA AVE,8,22-Jan-15,11:00 PM,THEFT,$500 AND UNDER,N
HY129809,19XX,N,KEDZIE AVE,14,24-Jan-15,9:00 PM,THEFT,$500 AND UNDER,N
HY138718,9XX,W,BELMONT AVE,19,25-Jan-15,8:00 AM,THEFT,$500 AND UNDER,N
HY128669,39XX,N,LAKE SHORE DR,19,25-Jan-15,8:10 PM,THEFT,$500 AND UNDER,N
HY129460,4XX,E,72ND ST,3,26-Jan-15,8:00 AM,THEFT,$500 AND UNDER,N
HY130340,35XX,W,PERSHING RD,9,26-Jan-15,9:30 PM,THEFT,OVER $500,N
HY135509,26XX,N,SOUTHPORT AVE,19,27-Jan-15,4:00 PM,THEFT,OVER $500,N
HY131174,69XX,N,GREENVIEW AVE,24,27-Jan-15,8:50 PM,THEFT,OVER $500,N
HY131174,69XX,N,GREENVIEW AVE,24,27-Jan-15,8:50 PM,THEFT,OVER $500,N
HY132161,8XX,N,DAMEN AVE,12,28-Jan-15,7:15 AM,THEFT,$500 AND UNDER,N
HY132806,65XX,N,MAPLEWOOD AVE,24,28-Jan-15,8:00 AM,THEFT,$500 AND UNDER,N
HY132202,XX,W,VAN BUREN ST,1,28-Jan-15,8:30 AM,THEFT,OVER $500,N
HY146590,53XX,S,WOODLAWN AVE,2,30-Jan-15,6:00 AM,THEFT,$500 AND UNDER,N
HY137320,1XX,S,WACKER DR,1,31-Jan-15,9:00 AM,THEFT,OVER $500,N
HY135561,22XX,N,LINCOLN AVE,18,31-Jan-15,5:00 PM,THEFT,OVER $500,N
HZ100749,64XX,S,WHIPPLE ST,8,31-Jan-15,7:00 PM,THEFT,$500 AND UNDER,N
HY144038,5XX,W,MADISON ST,1,3-Feb-15,9:30 AM,THEFT,$500 AND UNDER,N
HY138592,78XX,S,PHILLIPS AVE,4,3-Feb-15,11:50 AM,THEFT,$500 AND UNDER,N
HY155349,44XX,N,PAULINA ST,19,4-Feb-15,11:00 AM,THEFT,OVER $500,Y
HY145694,31XX,N,SOUTHPORT AVE,19,6-Feb-15,8:30 AM,THEFT,OVER $500,N
HY261303,XX,S,WABASH AVE,1,6-Feb-15,6:00 PM,THEFT,OVER $500,N
HY152744,10XX,W,FOSTER AVE,20,7-Feb-15,9:00 AM,THEFT,OVER $500,N
HY145345,8XX,W,CORNELIA AVE,19,8-Feb-15,5:00 AM,THEFT,OVER $500,N
HY145815,43XX,N,MOZART ST,17,9-Feb-15,9:00 AM,THEFT,OVER $500,N
HY147210,8XX,W,NEWPORT AVE,19,10-Feb-15,7:00 AM,THEFT,$500 AND UNDER,N
HY147942,17XX,W,WELLINGTON AVE,19,10-Feb-15,5:00 PM,THEFT,OVER $500,N
HY148107,3XX,N,DESPLAINES ST,12,11-Feb-15,1:11 PM,THEFT,$500 AND UNDER,N
HY149074,22XX,N,CLARK ST,18,11-Feb-15,8:00 PM,THEFT,$500 AND UNDER,N
HY150638,6XX,W,SCOTT ST,18,13-Feb-15,3:30 PM,THEFT,$500 AND UNDER,N
HY153131,26XX,W,EVERGREEN AVE,14,13-Feb-15,4:00 PM,THEFT,OVER $500,N
HY157083,5XX,W,ROSCOE ST,19,16-Feb-15,9:00 AM,THEFT,OVER $500,N
HY157083,5XX,W,ROSCOE ST,19,16-Feb-15,9:00 AM,THEFT,OVER $500,N
HY155900,25XX,E,77TH ST,4,18-Feb-15,10:30 AM,THEFT,$500 AND UNDER,N
HY157373,22XX,N,LEAVITT ST,14,19-Feb-15,11:30 PM,THEFT,OVER $500,N
HY157373,22XX,N,LEAVITT ST,14,19-Feb-15,11:30 PM,THEFT,OVER $500,N
HY161118,XX,E,8TH ST,1,21-Feb-15,10:30 PM,THEFT,OVER $500,N
HY167060,9XX,N,WOOD ST,12,22-Feb-15,6:00 PM,THEFT,$500 AND UNDER,N
HY167060,9XX,N,WOOD ST,12,22-Feb-15,6:00 PM,THEFT,$500 AND UNDER,N
HY161368,12XX,W,LOYOLA AVE,24,23-Feb-15,8:30 AM,THEFT,OVER $500,N
HY163782,13XX,W,ESTES AVE,24,25-Feb-15,4:00 PM,THEFT,$500 AND UNDER,N
HY181338,9XX,W,MONROE ST,12,25-Feb-15,4:00 PM,THEFT,OVER $500,N
HY191617,36XX,N,ALBANY AVE,17,27-Feb-15,9:00 AM,THEFT,$500 AND UNDER,N
HY167215,29XX,N,CLARK ST,19,28-Feb-15,3:15 PM,THEFT,OVER $500,N
HY167966,47XX,N,CUMBERLAND AVE,16,1-Mar-15,11:30 AM,THEFT,$500 AND UNDER,N
HY297085,32XX,N,LAKE SHORE DR,19,1-Mar-15,12:00 PM,THEFT,OVER $500,N
HY169771,65XX,N,ASHLAND AVE,24,2-Mar-15,9:00 AM,THEFT,$500 AND UNDER,N
HY172070,27XX,W,ARMITAGE AVE,14,2-Mar-15,6:00 PM,THEFT,$500 AND UNDER,N
